Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre
family party: 30 great games,wii,11,d3publisher,2008,+3,misc
active life: outdoor challenge,wii,10,atari,2008,+3,sports
active life: extreme challenge,wii,12,namco bandai games,2009,+3,sports
fantasy aquarium by ds,ds,6,mercury games,2008,+3,simulation
fantasy life,3ds,17,nintendo,2012,+7,role-playing
far cry,pc,18,ubisoft,2004,+16,shooter
far cry 2,ps3,15,ubisoft,2008,+16,action
far cry 2,pc,15,ubisoft,2008,+16,action
far cry 3,ps3,18,ubisoft,2012,+18,shooter
far cry 3,pc,18,ubisoft,2012,+18,shooter
far cry 4,ps3,16,ubisoft,2014,+18,shooter
far cry 4,ps4,16,ubisoft,2014,+18,shooter
far cry 4,pc,16,ubisoft,2014,+18,shooter
farm frenzy 3,ds,11,unknown,2011,+3,strategy
farming simulator 2013,pc,11,focus home interactive,2012,+3,simulation
farming simulator 2013,pc,3,focus home interactive,2012,+3,simulation
fat princess: fistful of cake,psp,15,sony computer entertainment,2010,+12,action
field commander,psp,15,sony online entertainment,2006,+7,strategy
an american tail: fievel's gold rush,gba,13,conspiracy entertainment,2002,+3,platform
fifa soccer 07,psp,13,electronic arts,2006,+3,sports
fifa soccer 07,ds,11,electronic arts,2006,+3,sports
fifa soccer 07,ps2,13,electronic arts,2006,+3,sports
fifa soccer 08,ds,12,electronic arts,2007,+3,sports
fifa soccer 08,psp,13,electronic arts,2007,+3,sports
fifa soccer 08,ps2,12,electronic arts,2007,+3,sports
fifa soccer 08,pc,12,electronic arts,2007,+3,sports
fifa soccer 08,wii,11,electronic arts,2007,+3,sports
fifa soccer 08,ps3,17,electronic arts,2007,+3,sports
fifa soccer 09,ps2,11,electronic arts,2008,+3,sports
fifa soccer 09,psp,12,electronic arts,2008,+3,sports
fifa soccer 09,ds,11,electronic arts,2008,+3,sports
fifa soccer 09,pc,12,electronic arts,2008,+3,sports
fifa soccer 09,ps3,18,electronic arts,2008,+3,sports
fifa soccer 09 all-play,wii,13,electronic arts,2008,+3,sports
fifa soccer 10,ds,11,electronic arts,2009,+3,sports
fifa soccer 10,pc,10,electronic arts,2009,+3,sports
fifa soccer 10,psp,13,electronic arts,2009,+3,sports
fifa soccer 10,ps2,12,electronic arts,2009,+3,sports
fifa soccer 10,wii,16,electronic arts,2009,+3,sports
fifa soccer 10,ps3,18,electronic arts,2009,+3,sports
fifa soccer 11,ps2,9,electronic arts,2010,+3,sports
fifa soccer 11,ds,10,electronic arts,2010,+3,sports
fifa soccer 11,psp,13,electronic arts,2010,+3,sports
fifa soccer 11,wii,16,electronic arts,2010,+3,sports
fifa soccer 11,pc,16,electronic arts,2010,+3,sports
fifa soccer 11,ps3,17,electronic arts,2010,+3,sports
fifa 12,ps2,10,electronic arts,2011,+3,sports
fifa 12,psp,12,electronic arts,2011,+3,sports
fifa 12,3ds,11,electronic arts,2011,+3,sports
fifa 12,pc,18,electronic arts,2011,+3,sports
fifa 12,wii,14,electronic arts,2011,+3,sports
fifa 12,ps3,18,electronic arts,2011,+3,sports
fifa soccer 13,wiiu,12,electronic arts,2012,+3,action
fifa soccer 13,wii,5,electronic arts,2012,+3,action
fifa soccer 13,pc,18,electronic arts,2012,+3,action
fifa soccer 13,ps3,18,electronic arts,2012,+3,action
fifa 14,ps4,15,electronic arts,2013,+3,sports
fifa 14,psp,5,electronic arts,2013,+3,sports
fifa 14,3ds,5,electronic arts,2013,+3,sports
fifa 14,wii,5,electronic arts,2013,+3,sports
fifa 14,pc,17,electronic arts,2013,+3,sports
fifa 14,ps3,17,electronic arts,2013,+3,sports
fifa 15,ps4,15,electronic arts,2014,+3,sports
fifa 2001: major league soccer,ps2,16,electronic arts,2000,+3,sports
fifa soccer 2003,gba,17,electronic arts,2002,+3,sports
fifa soccer 2003,ps2,17,electronic arts,2002,+3,sports
fifa soccer 2004,gba,14,electronic arts,2003,+3,sports
fifa soccer 2005,gba,14,electronic arts,2004,+3,sports
fifa soccer 2005,ps2,16,electronic arts,2004,+3,sports
fifa street,ps3,15,electronic arts,2012,+3,sports
fifa street,ps2,15,electronic arts,2005,+3,sports
fifa street 2,psp,15,electronic arts,2006,+3,sports
fifa street 2,ds,9,electronic arts,2006,+3,sports
fifa street 2,ps2,16,electronic arts,2006,+3,sports
fifa street 3,ds,8,electronic arts,2008,+3,sports
fifa street 3,ps3,16,electronic arts,2008,+3,sports
fight club,ps2,8,vivendi games,2004,+18,fighting
fight night round 2,ps2,16,electronic arts,2005,+12,fighting
fight night round 3,ps3,16,electronic arts,2006,+3,fighting
fight night round 3,psp,13,electronic arts,2006,+3,fighting
fight night round 3,ps2,13,electronic arts,2006,unknown,fighting
fight night 2004,ps2,16,electronic arts,2004,+16,fighting
fight night champion,ps3,17,electronic arts,2011,+16,fighting
final fantasy: the 4 heroes of light,ds,15,square enix,2009,+12,role-playing
final fantasy fables: chocobo tales,ds,14,ubisoft,2006,+3,adventure
final fantasy fables: chocobo's dungeon,wii,15,square enix,2007,+7,role-playing
final fantasy iii,ds,16,square enix,2006,+3,role-playing
final fantasy iv,ds,17,square enix,2007,+12,simulation
final fantasy iv: the complete collection,psp,18,square enix,2011,+12,role-playing
final fantasy iv advance,gba,16,nintendo,2005,+7,role-playing
final fantasy tactics a2: grimoire of the rift,ds,16,square enix,2007,+12,role-playing
final fantasy tactics advance,gba,17,squaresoft,2003,+3,role-playing
final fantasy v,snes,16,squaresoft,1992,+12,role-playing
final fantasy vi advance,gba,17,nintendo,2006,+7,role-playing
final fantasy x,ps2,17,sony computer entertainment,2001,+12,role-playing
final fantasy x-2,ps2,17,electronic arts,2003,+12,role-playing
final fantasy xii,ps2,19,square enix,2006,+12,role-playing
final fantasy xii: revenant wings,ds,15,square enix,2007,+12,role-playing
final fantasy xiii,ps3,16,square enix,2009,+16,role-playing
final fantasy xiii-2,ps3,17,square enix,2011,+16,role-playing
final fight one,gba,14,ubisoft,2001,+12,fighting
fire emblem,gba,17,nintendo,2003,+7,strategy
fire emblem: awakening,3ds,18,nintendo,2012,+12,role-playing
fire emblem: radiant dawn,wii,16,nintendo,2007,+12,strategy
fire emblem: shadow dragon,ds,16,nintendo,2008,+7,role-playing
fire emblem: the sacred stones,gba,17,nintendo,2004,+3,strategy
fireblade,ps2,11,midway games,2002,+12,action
fisherman's challenge,ps2,10,konami digital entertainment,2003,+3,sports
fishing master,wii,13,konami digital entertainment,2007,+3,misc
fist of the north star: ken's rage,ps3,9,ubisoft annecy,2010,+18,action
fist of the north star: ken's rage 2,wiiu,10,tecmo koei,2013,+18,fighting
fist of the north star: ken's rage 2,ps3,10,tecmo koei,2012,+18,fighting
flatout,ps2,15,empire interactive,2004,+12,racing
flatout: head on,psp,14,empire interactive,2008,+12,racing
flatout 2,ps2,15,empire interactive,2006,+12,racing
flatout: ultimate carnage,pc,14,empire interactive,2008,+12,racing
microsoft flight simulator 2004: a century of flight,pc,18,microsoft game studios,2003,+3,simulation
flingsmash,wii,12,nintendo,2010,+3,action
flipnic: ultimate pinball,ps2,9,ubisoft,2003,+3,misc
folklore,ps3,14,sony computer entertainment,2007,+3,role-playing
football academy,ds,10,electronic arts,2009,+3,sports
worldwide soccer manager 2006,pc,17,sega,2004,+3,sports
worldwide soccer manager 2007,pc,18,sega,2006,+3,sports
worldwide soccer manager 2008,pc,17,russel,2007,+3,sports
worldwide soccer manager 2009,pc,17,sega,2008,+3,simulation
football manager 2010,pc,18,sega,2009,+3,sports
football manager 2011,pc,18,sega,2010,+3,sports
football manager 2012,pc,16,sega,2011,+3,sports
football manager 2013,pc,18,sega,2012,+3,sports
football manager 2014,pc,17,sega,2013,+3,sports
football manager 2015,pc,17,sega,2014,+3,simulation
football manager handheld 2008,psp,11,sega,2007,+3,sports
football manager handheld 2009,psp,13,sega,2008,+3,sports
football manager handheld 2010,psp,12,sega,2009,+3,sports
football manager handheld 2011,psp,10,sega,2010,+3,sports
siren,ps2,16,sony computer entertainment,2003,+16,adventure
forbidden siren 2,ps2,16,sony computer entertainment,2006,+18,action
ford mustang: the legend lives,ps2,11,take-two interactive,2005,+3,racing
ford racing 2,ps2,13,empire interactive,2003,+3,racing
ford racing 3,ps2,11,take-two interactive,2004,unknown,racing
ford bold moves street racing,psp,8,xplosiv,2006,+3,racing
forgotten realms: demon stone,ps2,16,atari,2004,+12,action
formula one 2001,ps2,16,sony computer entertainment,2001,+3,racing
fortress,gba,12,majesco entertainment,2001,+3,action
foster's home for imaginary friends: imagination invaders,ds,7,midway games,2007,+3,adventure
antz extreme racing,ps2,10,empire interactive,2002,+3,racing
fracture,ps3,12,lucasarts,2008,+16,shooter
fragile dreams: farewell ruins of the moon,wii,16,rising star games,2009,+7,role-playing
frantix,psp,10,ubisoft,2005,+3,puzzle
stretch panic,ps2,11,midas interactive entertainment,2001,+16,platform
freaky flyers,ps2,10,midway games,2003,+12,racing
freedom fighters,ps2,15,electronic arts,2003,unknown,shooter
freekstyle,ps2,16,electronic arts,2002,+3,racing
freelancer,pc,17,microsoft game studios,2003,+3,simulation
frequency,ps2,12,sony computer entertainment,2001,+3,misc
disney's brother bear,gba,13,thq,2003,+3,action
friends: the one with all the trivia,ps2,7,warner bros. interactive entertainment,2005,+12,misc
frogger: helmet chaos,psp,13,konami digital entertainment,2005,+3,platform
frogger: helmet chaos,ds,13,konami digital entertainment,2005,+3,platform
frogger advance: the great quest,gba,12,konami digital entertainment,2002,+3,action
frogger's adventures 2: the lost wand,gba,13,konami digital entertainment,2002,+3,adventure
front mission,snes,17,squaresoft,1995,unknown,strategy
front mission evolved,pc,10,square enix,2010,+16,shooter
front mission evolved,ps3,10,square enix,2010,+16,shooter
frontlines: fuel of war,pc,14,thq,2008,+16,shooter
full auto 2: battlelines,psp,8,sega,2007,+3,racing
full auto 2: battlelines,ps3,11,sega,2006,+3,racing
full spectrum warrior,ps2,13,thq,2005,+16,strategy
full spectrum warrior: ten hammers,ps2,15,thq,2006,+16,strategy
futurama,ps2,9,sci,2003,+12,platform
future tactics: the uprising,ps2,8,crave entertainment,2004,unknown,strategy
g-force,ps2,3,disney interactive studios,2009,+3,action
g.i. joe: the rise of cobra,psp,8,electronic arts,2009,+12,action
g.i. joe: the rise of cobra,ds,10,electronic arts,2009,+12,action
g.i. joe: the rise of cobra,ps2,8,electronic arts,2009,+12,action
g.i. joe: the rise of cobra,wii,8,electronic arts,2009,+12,action
g.i. joe: the rise of cobra,ps3,8,electronic arts,2009,+12,action
g1 jockey wii,wii,13,tecmo koei,2007,+3,sports
gabrielle's ghostly groove 3d,3ds,12,funbox media,2011,+7,adventure
galerians: ash,ps2,13,sammy corporation,2002,+16,adventure
game & wario,wiiu,11,nintendo,2013,unknown,misc
game & watch gallery,gb,15,nintendo,1997,+3,misc
game & watch gallery 2,gb,14,nintendo,1997,+3,misc
game & watch gallery 3,gb,16,nintendo,1999,+3,misc
game of thrones,ps3,12,focus home interactive,2012,+18,role-playing
game of thrones,pc,12,focus home interactive,2012,+18,role-playing
game party,wii,5,midway games,2007,+3,misc
game party: champions,wiiu,4,warner bros. interactive entertainment,2012,+3,action
gangs of london,psp,13,sony computer entertainment,2006,+18,adventure
gardening mama,ds,13,505 games,2009,+3,puzzle
garfield: the search for pooky,gba,6,game factory,2003,+7,platform
garfield's fun fest,ds,6,zoo digital publishing,2008,+3,platform
gauntlet: dark legacy,ps2,11,midway games,2001,+12,action
gauntlet: seven sorrows,ps2,11,midway games,2005,+12,role-playing
gears of war,pc,18,microsoft game studios,2007,+18,shooter
gekido advance: kintaro's revenge,gba,14,zoo digital publishing,2002,+3,action
generator rex: agent of providence,ds,5,activision,2011,+12,action
generator rex: agent of providence,3ds,5,activision,2011,+12,action
generator rex: agent of providence,wii,7,activision,2011,+12,action
genji: days of the blade,ps3,8,sony computer entertainment,2006,+3,action
geometry wars: galaxies,wii,15,vivendi games,2007,+3,shooter
geometry wars: galaxies,ds,15,vivendi games,2007,+3,shooter
george of the jungle and the search for the secret,ds,9,ignition entertainment,2008,+3,platform
george of the jungle and the search for the secret,wii,5,ignition entertainment,2008,+3,platform
curious george,ps2,10,namco bandai games,2006,+3,action
curious george,gba,6,namco bandai games,2006,+3,action
get fit with mel b,wii,11,black bean games,2010,+3,sports
get fit with mel b,ps3,11,black bean games,2010,+3,sports
get on da mic,ps2,8,eidos interactive,2004,+12,misc
gex 3: deep cover gecko,n64,16,crave entertainment,1999,+12,platform
ghost in the shell: stand alone complex,ps2,11,namco bandai games,2004,+12,adventure
ghost pirates of vooju island,pc,14,dtp entertainment,2009,+3,adventure
tom clancy's ghost recon: future soldier,pc,13,ubisoft,2012,+18,shooter
tom clancy's ghost recon: future soldier,ps3,17,ubisoft,2012,+18,shooter
tom clancy's ghost recon: jungle storm,ps2,11,ubisoft,2004,+16,shooter
tom clancy's ghost recon: predator,psp,8,ubisoft,2010,unknown,shooter
tom clancy's ghost recon: shadow wars,3ds,14,ubisoft,2011,+12,strategy
tom clancy's ghost recon: advanced warfighter,ps2,9,ubisoft,2006,+12,shooter
ghost rider,psp,13,take-two interactive,2007,+12,action
ghost squad,wii,14,sega,2007,+16,shooter
ghost trick: phantom detective,ds,17,capcom,2010,+12,adventure
ghosthunter,ps2,15,sony computer entertainment,2003,+12,action
giants: citizen kabuto,ps2,13,interplay,2001,+3,shooter
gitaroo man,ps2,15,thq,2001,+3,misc
gitaroo man lives!,psp,14,tecmo koei,2006,+3,misc
gladiator: sword of vengeance,ps2,11,acclaim entertainment,2003,+16,action
gladiator begins,psp,11,pqube,2010,+16,action
gladius,ps2,15,activision,2003,+12,strategy
glory days 2,ds,12,ghostlight,2007,+12,strategy
glover,n64,12,hasbro interactive,1998,+3,platform
go vacation,wii,15,namco bandai games,2011,+7,misc
go! sudoku,psp,14,sony computer entertainment,2005,+3,puzzle
go! sudoku,psp,13,sony computer entertainment,2005,+3,puzzle
gobliiins 4,pc,14,kalypso media,2009,+3,adventure
goblin commander: unleash the horde,ps2,14,jaleco,2003,+12,strategy
god hand,ps2,14,capcom,2006,+12,action
god of war,ps2,18,sony computer entertainment,2005,+18,action
god of war: ascension,ps3,13,sony computer entertainment,2013,+18,action
god of war: chains of olympus,psp,15,sony computer entertainment,2008,+16,action
god of war: ghost of sparta,psp,16,sony computer entertainment,2010,+18,action
god of war ii,ps2,18,sony computer entertainment,2007,+18,action
god of war iii,ps3,19,sony computer entertainment,2010,+18,action
godzilla: domination!,gba,9,atari,2002,+3,fighting
godzilla: save the earth,ps2,7,atari,2004,+7,fighting
golden axe: beast rider,ps3,9,sega,2008,+18,action
golden nugget casino ds,ds,5,majesco entertainment,2005,+18,misc
golden sun: the lost age,gba,18,nintendo,2002,+3,role-playing
golden sun: dark dawn,ds,16,nintendo,2010,+12,role-playing
goldeneye: rogue agent,ds,10,electronic arts,2005,+12,shooter
goldeneye: rogue agent,ps2,11,electronic arts,2004,+12,shooter
goldeneye 007,n64,18,nintendo,1997,+16,shooter
goodbye deponia,pc,17,daedalic entertainment,2013,unknown,adventure
gormiti: the lords of nature!,ds,9,konami digital entertainment,2010,+7,adventure
gormiti: the lords of nature!,wii,9,konami digital entertainment,2010,+7,adventure
gothic 3,pc,17,jowood productions,2006,+16,role-playing
pinball hall of fame: the gottlieb collection,wii,15,system 3 arcade software,2006,+3,misc
pinball hall of fame: the gottlieb collection,psp,14,play it,2005,+3,misc
gradius galaxies,gba,14,konami digital entertainment,2001,+3,shooter
gradius collection,psp,13,konami digital entertainment,2006,+3,shooter
gradius v,ps2,16,konami digital entertainment,2004,+3,shooter
graffiti kingdom,ps2,8,505 games,2004,+3,role-playing
gran turismo 4,ps2,18,sony computer entertainment,2004,+7,racing
gran turismo 5,ps3,14,sony computer entertainment,2010,+3,racing
gran turismo 6,ps3,14,sony computer entertainment,2013,+3,racing
grand slam tennis 2,ps3,15,electronic arts,2012,+3,sports
grand prix challenge,ps2,15,atari,2002,+3,racing
grand prix legends,pc,17,vivendi games,1997,unknown,racing
grand theft auto,gba,14,take-two interactive,2004,+16,action
grand theft auto: chinatown wars,psp,18,take-two interactive,2009,+18,action
grand theft auto: chinatown wars,ds,18,take-two interactive,2009,+18,action
grand theft auto: liberty city stories,ps2,15,take-two interactive,2006,+18,action
grand theft auto: liberty city stories,psp,17,take-two interactive,2005,+18,action
grand theft auto: san andreas,pc,18,take-two interactive,2005,+18,action
grand theft auto: san andreas,ps2,18,take-two interactive,2004,+18,action
grand theft auto: vice city,pc,18,take-two interactive,2003,+16,action
grand theft auto: vice city,ps2,18,take-two interactive,2002,+16,action
grand theft auto: vice city stories,ps2,13,take-two interactive,2007,+18,action
grand theft auto: vice city stories,psp,15,take-two interactive,2006,+18,action
grand theft auto iii,pc,17,take-two interactive,2002,+16,action
grand theft auto iii,ps2,17,take-two interactive,2001,+16,action
grand theft auto iv,pc,18,take-two interactive,2008,+18,action
grand theft auto iv,ps3,18,take-two interactive,2008,+18,action
grand theft auto v,ps4,18,take-two interactive,2014,+18,action
grand theft auto v,ps3,18,take-two interactive,2013,+18,action
grandia ii,ps2,16,ubisoft,2002,+3,role-playing
gray matter,pc,17,dtp entertainment,2011,+12,adventure
grease dance,ps3,9,505 games,2011,+12,misc
green day: rock band,wii,15,mtv games,2010,+12,misc
green day: rock band,ps3,15,mtv games,2010,+12,misc
green lantern: rise of the manhunters,wii,9,warner bros. interactive entertainment,2011,+12,action
green lantern: rise of the manhunters,3ds,8,warner bros. interactive entertainment,2011,+12,action
green lantern: rise of the manhunters,ds,8,warner bros. interactive entertainment,2011,+12,action
green lantern: rise of the manhunters,ps3,12,warner bros. interactive entertainment,2011,+12,action
grey's anatomy: the video game,wii,10,ubisoft,2009,+12,adventure
grey's anatomy: the video game,pc,9,ubisoft,2009,+12,adventure
grey's anatomy: the video game,ds,11,ubisoft,2009,+12,adventure
grid 2,pc,16,codemasters,2013,+7,racing
grid 2,ps3,15,codemasters,2013,+7,racing
gripshift,psp,14,ubisoft,2005,+3,racing
gt advance 2: rally racing,gba,11,thq,2001,+3,racing
gt advance championship racing,gba,15,thq,2001,+3,racing
gt legends,pc,16,atari,2005,+3,racing
gt pro series,wii,8,ubisoft,2006,+3,racing
gti club: supermini festa!,wii,9,konami digital entertainment,2010,+3,racing
gtr evolution,pc,16,atari,2008,+12,racing
guild wars,pc,17,ncsoft,2005,+12,role-playing
guild wars: factions,pc,16,ncsoft,2006,+12,role-playing
guild wars: nightfall,pc,16,ncsoft,2006,+12,role-playing
guild wars 2,pc,18,ncsoft,2012,+12,action
guilty gear isuka,ps2,13,505 games,2004,+12,fighting
guilty gear judgment,psp,15,majesco entertainment,2006,+12,fighting
guilty gear x,ps2,15,sammy corporation,2001,+12,fighting
guilty gear x2,ps2,17,sammy corporation,2002,+12,fighting
guitar hero,ps2,18,redoctane,2005,+3,misc
guitar hero: aerosmith,wii,12,activision,2008,+12,misc
guitar hero: aerosmith,ps2,12,activision,2008,+12,misc
guitar hero: aerosmith,ps3,12,activision,2008,+12,misc
guitar hero: metallica,ps2,14,activision,2009,+12,misc
guitar hero: metallica,wii,14,activision,2009,+12,misc
guitar hero: metallica,ps3,14,activision,2009,+12,misc
guitar hero: on tour,ds,15,activision,2008,+3,misc
guitar hero: van halen,wii,13,activision,2009,+12,misc
guitar hero: van halen,ps3,13,activision,2009,+12,misc
guitar hero: warriors of rock,wii,16,activision,2010,+12,misc
guitar hero: warriors of rock,ps3,16,activision,2010,+12,misc
guitar hero: world tour,wii,16,activision,2008,+12,misc
guitar hero: world tour,ps2,15,activision,2008,+12,misc
guitar hero: world tour,ps3,16,activision,2008,+12,misc
guitar hero 5,wii,18,activision,2009,+12,misc
guitar hero 5,ps3,18,activision,2009,+12,misc
guitar hero ii,ps2,17,redoctane,2006,+3,misc
guitar hero iii: legends of rock,pc,16,aspyr,2007,+3,misc
guitar hero iii: legends of rock,wii,18,activision,2007,+3,misc
guitar hero iii: legends of rock,ps3,18,activision,2007,+3,misc
guitar rock tour,ds,12,gameloft,2007,+12,misc
gun,ps2,11,activision,2005,+18,shooter
gungrave: overdose,ps2,12,play it,2004,+12,shooter
gunstar super heroes,gba,16,sega,2005,+7,shooter
flash focus: vision training in minutes a day,ds,7,nintendo,2007,+3,misc
half-life,ps2,17,vivendi games,2001,+16,shooter
half-life,pc,18,vivendi games,1997,+16,shooter
half-life 2,pc,18,vivendi games,2004,+16,shooter
halo: combat evolved,pc,14,microsoft game studios,2003,+16,shooter
halo 2,pc,13,microsoft game studios,2007,+16,shooter
hamsterz life,ds,10,ubisoft,2006,+3,action
hamtaro: ham-ham games,gba,11,nintendo,2004,+3,sports
hamtaro: ham-ham heartbreak,gba,13,nintendo,2002,+3,action
hamtaro: ham-hams unite!,gb,13,nintendo,2001,+3,role-playing
hannah montana,ds,5,disney interactive studios,2006,+3,action
hannah montana: music jam,ds,11,disney interactive studios,2007,+3,action
happy feet,wii,10,midway games,2006,+3,action
happy feet,ds,4,midway games,2006,+3,action
hard hitter tennis,ps2,12,midas interactive entertainment,2001,+3,sports
hard rock casino,psp,11,oxygen interactive,2007,+3,misc
harlem globetrotters: world tour,ds,1,zoo digital publishing,2006,+3,sports
harry potter: quidditch world cup,gba,13,electronic arts,2003,+3,sports
harry potter: quidditch world cup,ps2,13,electronic arts,2003,+3,sports
harry potter and the sorcerer's stone,ps2,13,electronic arts,2003,+3,action
harry potter and the sorcerer's stone,gba,15,electronic arts,2001,+3,action
harry potter and the sorcerer's stone,gb,15,electronic arts,2001,unknown,action
harry potter and the sorcerer's stone,pc,15,electronic arts,2001,unknown,action
harry potter and the order of the phoenix,ds,10,electronic arts,2007,+7,action
harry potter and the order of the phoenix,psp,7,electronic arts,2007,+7,action
harry potter and the order of the phoenix,pc,11,electronic arts,2007,+7,action
harry potter and the order of the phoenix,wii,11,electronic arts,2007,+7,action
harry potter and the order of the phoenix,ps2,11,electronic arts,2007,+7,action
harry potter and the order of the phoenix,ps3,11,electronic arts,2007,+7,action
harry potter and the chamber of secrets,gba,16,electronic arts,2002,+3,action
harry potter and the chamber of secrets,ps2,14,electronic arts,2002,unknown,action
harry potter and the chamber of secrets,pc,15,electronic arts,2002,unknown,action
harry potter and the goblet of fire,psp,11,electronic arts,2005,+7,action
harry potter and the goblet of fire,ds,13,electronic arts,2005,+7,action
harry potter and the goblet of fire,gba,13,electronic arts,2005,+7,action
harry potter and the goblet of fire,ps2,13,electronic arts,2005,+7,action
harry potter and the half-blood prince,psp,7,electronic arts,2009,+12,action
harry potter and the half-blood prince,ds,7,electronic arts,2009,+12,action
harry potter and the half-blood prince,wii,10,electronic arts,2009,+12,action
harry potter and the half-blood prince,ps2,10,electronic arts,2009,+12,action
harry potter and the half-blood prince,pc,10,electronic arts,2009,+12,action
harry potter and the half-blood prince,ps3,10,electronic arts,2009,+12,action
harry potter and the prisoner of azkaban,pc,15,electronic arts,2004,+3,action
harry potter and the prisoner of azkaban,ps2,15,electronic arts,2004,unknown,action
harry potter and the prisoner of azkaban,gba,15,electronic arts,2004,+3,action
harvest moon: hero of leaf valley,psp,12,rising star games,2009,+12,simulation
harvest moon: magical melody,wii,11,rising star games,2008,+3,simulation
harvest moon: animal parade,wii,14,rising star games,2008,+3,simulation
harvest moon 3d: a new beginning,3ds,16,marvelous entertainment,2012,+3,action
hatsune miku: project mirai dx,3ds,16,sega,2015,+3,misc
haunting ground,ps2,15,capcom,2005,+16,action
haze,ps3,9,ubisoft,2008,+18,shooter
headhunter,ps2,16,sega,2002,+12,action
headhunter: redemption,ps2,13,sega,2004,+16,action
hearts of iron iii,pc,14,paradox interactive,2009,+7,strategy
heatseeker,psp,11,codemasters,2007,+12,action
heatseeker,wii,13,codemasters,2007,+12,action
heavenly sword,ps3,14,sony computer entertainment,2007,+16,action
heavy rain,ps3,15,sony computer entertainment,2010,+18,adventure
x-men: the official game,gba,6,activision,2006,+3,action
x-men: the official game,gba,7,activision,2006,+7,action
hellboy: the science of evil,psp,7,konami digital entertainment,2008,+12,action
hellboy: the science of evil,ps3,7,konami digital entertainment,2008,+12,action
hellgate: london,pc,15,electronic arts,2007,+18,role-playing
hello kitty: big city dreams,ds,11,empire interactive,2008,+3,puzzle
hello kitty: birthday adventures,ds,13,namco bandai games,2010,+3,adventure
hello kitty: roller rescue,pc,8,empire interactive,2005,+3,action
henry hatsworth in the puzzling adventure,ds,16,electronic arts,2009,+7,puzzle
hercules: the legendary journeys,n64,12,titus,2000,+3,role-playing
herdy gerdy,ps2,15,eidos interactive,2002,+3,adventure
heroes of hellas 2: olympia,ds,11,unknown,2012,+3,puzzle
heroes of mana,ds,13,square enix,2007,+12,strategy
heroes of might and magic v,pc,17,ubisoft,2006,+12,strategy
heroes of ruin,3ds,14,nintendo,2012,+12,role-playing
heroes of the pacific,pc,14,codemasters,2005,+12,simulation
heroes of the pacific,ps2,14,codemasters,2005,+12,simulation
justice league heroes,ds,5,eidos interactive,2006,+3,role-playing
justice league heroes,psp,11,eidos interactive,2006,+3,role-playing
justice league heroes: the flash,gba,10,eidos interactive,2006,+12,action
hexyz force,psp,14,atlus,2009,unknown,role-playing
hidden invasion,ps2,10,swing! entertainment,2001,+3,shooter
hidden mysteries: buckingham palace,ds,7,avanquest,2010,+3,puzzle
hidden mysteries: titanic - secrets of the fateful voyage,wii,8,gsp,2009,+3,adventure
hidden mysteries: titanic - secrets of the fateful voyage,ds,9,gsp,2009,+3,adventure
high school musical: sing it!,wii,9,disney interactive studios,2007,+3,misc
high school musical 2: work this out!,ds,6,disney interactive studios,2008,+3,misc
high school musical 3: senior year,ds,6,disney interactive studios,2008,unknown,misc
the history channel: battle for the pacific,wii,4,activision,2007,+12,shooter
the history channel: battle for the pacific,ps3,2,activision,2008,+12,shooter
hitman: blood money,ps2,16,eidos interactive,2006,+18,action
hitman: blood money,pc,16,eidos interactive,2006,+18,action
hitman 2: silent assassin,ps2,17,eidos interactive,2002,unknown,action
hitman: absolution,pc,17,square enix,2012,+16,action
hitman: absolution,ps3,17,square enix,2012,+16,action
hitman: contracts,ps2,15,eidos interactive,2004,unknown,shooter
holly hobbie & friends,ds,8,majesco entertainment,2007,+3,misc
quest 64,n64,17,konami digital entertainment,1998,unknown,role-playing
homefront,ps3,11,thq,2011,+18,shooter
homefront,pc,11,thq,2011,+18,shooter
homeworld,pc,18,vivendi games,1998,+12,strategy
homeworld 2,pc,17,vivendi games,2003,+12,strategy
honeycomb beat,ds,10,konami digital entertainment,2006,+3,puzzle
horse life,ds,10,game life,2007,+3,simulation
horse life,ds,9,game life,2007,+3,simulation
horse life adventures,ds,10,deep silver,2008,+3,simulation
hospital tycoon,pc,13,codemasters,2007,+7,strategy
hot pixel,psp,10,atari,2007,+12,puzzle
hot potato!,gba,14,bam! entertainment,2001,+3,action
hot wheels: beat that!,ds,7,activision,2007,+3,racing
hot wheels: beat that!,wii,6,activision,2007,+3,racing
hot wheels: beat that!,ps2,6,activision,2007,+3,racing
hot wheels: burnin' rubber,gba,13,thq,2001,+3,racing
hot wheels: stunt track challenge,gba,9,thq,2004,+3,racing
hot wheels: stunt track challenge,ps2,9,thq,2004,unknown,racing
hot wheels: track attack,ds,11,thq,2010,+3,racing
hot wheels: track attack,wii,7,thq,2010,+3,racing
hot wheels: world race,gba,7,thq,2003,unknown,racing
hotel dusk: room 215,ds,15,nintendo,2007,+12,adventure
hotel giant 2,pc,12,jowood productions,2008,+3,strategy
hotel giant ds,ds,10,nobilis,2008,+3,simulation
hulk,ps2,16,universal interactive,2003,unknown,action
hunted: the demon's forge,pc,13,bethesda softworks,2011,+18,action
hunted: the demon's forge,ps3,13,bethesda softworks,2011,+18,action
hybrid heaven,n64,13,konami digital entertainment,1999,+16,role-playing
hyperdimension neptunia,ps3,7,tecmo koei,2010,+12,role-playing
