Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre
alvin and the chipmunks,ps2,5,brash entertainment,2007,+3,misc
alvin and the chipmunks,ds,7,brash entertainment,2007,+3,misc
amf bowling pinbusters!,wii,6,bethesda softworks,2007,+3,sports
amplitude,ps2,14,sony computer entertainment,2003,+12,misc
anarchy reigns,ps3,12,sega,2012,+18,action
angler's club: ultimate bass fishing 3d,3ds,9,d3publisher,2011,+3,sports
animal crossing: happy home designer,3ds,15,nintendo,2015,+3,simulation
animal crossing: city folk,wii,14,nintendo,2008,+3,simulation
animal crossing: new leaf,3ds,17,nintendo,2012,+3,simulation
animal crossing: wild world,ds,16,nintendo,2005,+3,simulation
animal genius,ds,6,ubisoft,2007,+3,puzzle
dawn of discovery,wii,17,ubisoft,2009,+7,simulation
dawn of discovery,ds,16,ubisoft,2009,+7,simulation
anno 1701: dawn of discovery,ds,17,touchstone,2007,+3,simulation
anno 2070,pc,17,ubisoft,2011,+7,strategy
anubis ii,wii,6,metro 3d,2007,+3,platform
ape escape academy,psp,15,sony computer entertainment,2004,+3,misc
ape escape,ps3,5,sony computer entertainment,2010,+3,platform
ape escape: on the loose,psp,12,sony computer entertainment,2005,+3,platform
ape escape 2,ps2,15,sony computer entertainment,2002,+3,platform
ape escape 3,ps2,15,sony computer entertainment,2005,+3,platform
apollo justice: ace attorney,ds,16,capcom,2007,+12,adventure
downstream panic!,psp,13,atari,2008,+7,action
aqua teen hunger force: zombie ninja pro-am,ps2,5,midway games,2007,+16,racing
aquarium by ds,ds,6,mercury games,2008,+3,simulation
ar tonelico: melody of elemia,ps2,14,505 games,2006,+7,role-playing
ar tonelico qoga: knell of ar ciel,ps3,11,tecmo koei,2010,+3,role-playing
arc the lad: twilight of the spirits,ps2,15,sony computer entertainment,2003,+12,role-playing
arcana heart 3,ps3,14,pqube,2011,+12,fighting
archer maclean's mercury,psp,13,ignition entertainment,2005,+3,puzzle
arctic tale,wii,5,zoo digital publishing,2007,+3,adventure
area 51,ps2,13,midway games,2005,+16,shooter
arkanoid ds,ds,10,square enix,2007,+3,puzzle
arma ii,pc,17,505 games,2009,+18,shooter
arma ii,pc,16,505 games,2009,+18,shooter
arma iii,pc,17,bohemia interactive,2013,+18,shooter
arma iii,pc,16,bohemia interactive,2013,+18,shooter
armored core: nexus,ps2,9,indie games,2004,+12,simulation
armored core: nine breaker,ps2,12,505 games,2004,+12,simulation
armored core: verdict day,ps3,15,from software,2013,+12,simulation
armored core 2,ps2,14,ubisoft,2000,+12,simulation
armored core 2: another age,ps2,14,metro 3d,2001,+12,simulation
armored core 3,ps2,11,metro 3d,2002,+3,simulation
armored core 4,ps3,13,505 games,2006,+12,simulation
armored core: for answer,ps3,13,ubisoft,2008,+12,simulation
armored core v,ps3,14,namco bandai games,2012,+12,simulation
armorines: project s.w.a.r.m.,n64,11,acclaim entertainment,1999,+3,shooter
army men: green rogue,ps2,11,3do,2001,+3,action
army men: sarge's heroes 2,ps2,14,midas interactive entertainment,2001,+3,shooter
army of two,ps3,12,electronic arts,2008,+18,shooter
army of two: the 40th day,psp,9,electronic arts,2010,+18,shooter
army of two: the 40th day,ps3,16,electronic arts,2010,+18,shooter
army of two: the devil's cartel,ps3,11,electronic arts,2013,+18,shooter
art academy: home studio,wiiu,15,nintendo,2015,+3,misc
asphalt: urban gt,ds,13,ubisoft,2004,+3,racing
asphalt: urban gt 2,ds,15,ubisoft,2006,+3,racing
